iso_code,scenario,overshoot_year_aiaware
ARE,ambitious,2025.0
ARE,ambitious+AI_CLEAN,2025.0
ARE,ambitious+AI_CONSERVATIVE,2025.0
ARE,baseline,2025.0
ARE,baseline+AI_CLEAN,2025.0
ARE,baseline+AI_CONSERVATIVE,2025.0
ARE,ndc,2025.0
ARE,ndc+AI_CLEAN,2025.0
ARE,ndc+AI_CONSERVATIVE,2025.0
ARG,ambitious,2025.0
ARG,ambitious+AI_CLEAN,2025.0
ARG,ambitious+AI_CONSERVATIVE,2025.0
ARG,baseline,2025.0
ARG,baseline+AI_CLEAN,2025.0
ARG,baseline+AI_CONSERVATIVE,2025.0
ARG,ndc,2025.0
ARG,ndc+AI_CLEAN,2025.0
ARG,ndc+AI_CONSERVATIVE,2025.0
AUS,ambitious,2025.0
AUS,ambitious+AI_CLEAN,2025.0
AUS,ambitious+AI_CONSERVATIVE,2025.0
AUS,baseline,2025.0
AUS,baseline+AI_CLEAN,2025.0
AUS,baseline+AI_CONSERVATIVE,2025.0
AUS,ndc,2025.0
AUS,ndc+AI_CLEAN,2025.0
AUS,ndc+AI_CONSERVATIVE,2025.0
AUT,ambitious,2025.0
AUT,ambitious+AI_CLEAN,2025.0
AUT,ambitious+AI_CONSERVATIVE,2025.0
AUT,baseline,2025.0
AUT,baseline+AI_CLEAN,2025.0
AUT,baseline+AI_CONSERVATIVE,2025.0
AUT,ndc,2025.0
AUT,ndc+AI_CLEAN,2025.0
AUT,ndc+AI_CONSERVATIVE,2025.0
AZE,ambitious,2025.0
AZE,ambitious+AI_CLEAN,2025.0
AZE,ambitious+AI_CONSERVATIVE,2025.0
AZE,baseline,2025.0
AZE,baseline+AI_CLEAN,2025.0
AZE,baseline+AI_CONSERVATIVE,2025.0
AZE,ndc,2025.0
AZE,ndc+AI_CLEAN,2025.0
AZE,ndc+AI_CONSERVATIVE,2025.0
BEL,ambitious,2025.0
BEL,ambitious+AI_CLEAN,2025.0
BEL,ambitious+AI_CONSERVATIVE,2025.0
BEL,baseline,2025.0
BEL,baseline+AI_CLEAN,2025.0
BEL,baseline+AI_CONSERVATIVE,2025.0
BEL,ndc,2025.0
BEL,ndc+AI_CLEAN,2025.0
BEL,ndc+AI_CONSERVATIVE,2025.0
BGD,ambitious,
BGD,ambitious+AI_CLEAN,
BGD,ambitious+AI_CONSERVATIVE,
BGD,baseline,
BGD,baseline+AI_CLEAN,
BGD,baseline+AI_CONSERVATIVE,
BGD,ndc,
BGD,ndc+AI_CLEAN,
BGD,ndc+AI_CONSERVATIVE,
BGR,ambitious,2025.0
BGR,ambitious+AI_CLEAN,2025.0
BGR,ambitious+AI_CONSERVATIVE,2025.0
BGR,baseline,2025.0
BGR,baseline+AI_CLEAN,2025.0
BGR,baseline+AI_CONSERVATIVE,2025.0
BGR,ndc,2025.0
BGR,ndc+AI_CLEAN,2025.0
BGR,ndc+AI_CONSERVATIVE,2025.0
BLR,ambitious,2025.0
BLR,ambitious+AI_CLEAN,2025.0
BLR,ambitious+AI_CONSERVATIVE,2025.0
BLR,baseline,2025.0
BLR,baseline+AI_CLEAN,2025.0
BLR,baseline+AI_CONSERVATIVE,2025.0
BLR,ndc,2025.0
BLR,ndc+AI_CLEAN,2025.0
BLR,ndc+AI_CONSERVATIVE,2025.0
BRA,ambitious,
BRA,ambitious+AI_CLEAN,
BRA,ambitious+AI_CONSERVATIVE,
BRA,baseline,2025.0
BRA,baseline+AI_CLEAN,2025.0
BRA,baseline+AI_CONSERVATIVE,2025.0
BRA,ndc,2025.0
BRA,ndc+AI_CLEAN,2025.0
BRA,ndc+AI_CONSERVATIVE,2025.0
CAN,ambitious,2025.0
CAN,ambitious+AI_CLEAN,2025.0
CAN,ambitious+AI_CONSERVATIVE,2025.0
CAN,baseline,2025.0
CAN,baseline+AI_CLEAN,2025.0
CAN,baseline+AI_CONSERVATIVE,2025.0
CAN,ndc,2025.0
CAN,ndc+AI_CLEAN,2025.0
CAN,ndc+AI_CONSERVATIVE,2025.0
CHE,ambitious,2025.0
CHE,ambitious+AI_CLEAN,2025.0
CHE,ambitious+AI_CONSERVATIVE,2025.0
CHE,baseline,2025.0
CHE,baseline+AI_CLEAN,2025.0
CHE,baseline+AI_CONSERVATIVE,2025.0
CHE,ndc,2025.0
CHE,ndc+AI_CLEAN,2025.0
CHE,ndc+AI_CONSERVATIVE,2025.0
CHL,ambitious,2025.0
CHL,ambitious+AI_CLEAN,2025.0
CHL,ambitious+AI_CONSERVATIVE,2025.0
CHL,baseline,2025.0
CHL,baseline+AI_CLEAN,2025.0
CHL,baseline+AI_CONSERVATIVE,2025.0
CHL,ndc,2025.0
CHL,ndc+AI_CLEAN,2025.0
CHL,ndc+AI_CONSERVATIVE,2025.0
CHN,ambitious,2025.0
CHN,ambitious+AI_CLEAN,2025.0
CHN,ambitious+AI_CONSERVATIVE,2025.0
CHN,baseline,2025.0
CHN,baseline+AI_CLEAN,2025.0
CHN,baseline+AI_CONSERVATIVE,2025.0
CHN,ndc,2025.0
CHN,ndc+AI_CLEAN,2025.0
CHN,ndc+AI_CONSERVATIVE,2025.0
COL,ambitious,
COL,ambitious+AI_CLEAN,
COL,ambitious+AI_CONSERVATIVE,
COL,baseline,
COL,baseline+AI_CLEAN,
COL,baseline+AI_CONSERVATIVE,
COL,ndc,
COL,ndc+AI_CLEAN,
COL,ndc+AI_CONSERVATIVE,
CYP,ambitious,2025.0
CYP,ambitious+AI_CLEAN,2025.0
CYP,ambitious+AI_CONSERVATIVE,2025.0
CYP,baseline,2025.0
CYP,baseline+AI_CLEAN,2025.0
CYP,baseline+AI_CONSERVATIVE,2025.0
CYP,ndc,2025.0
CYP,ndc+AI_CLEAN,2025.0
CYP,ndc+AI_CONSERVATIVE,2025.0
CZE,ambitious,2025.0
CZE,ambitious+AI_CLEAN,2025.0
CZE,ambitious+AI_CONSERVATIVE,2025.0
CZE,baseline,2025.0
CZE,baseline+AI_CLEAN,2025.0
CZE,baseline+AI_CONSERVATIVE,2025.0
CZE,ndc,2025.0
CZE,ndc+AI_CLEAN,2025.0
CZE,ndc+AI_CONSERVATIVE,2025.0
DEU,ambitious,2025.0
DEU,ambitious+AI_CLEAN,2025.0
DEU,ambitious+AI_CONSERVATIVE,2025.0
DEU,baseline,2025.0
DEU,baseline+AI_CLEAN,2025.0
DEU,baseline+AI_CONSERVATIVE,2025.0
DEU,ndc,2025.0
DEU,ndc+AI_CLEAN,2025.0
DEU,ndc+AI_CONSERVATIVE,2025.0
DNK,ambitious,2025.0
DNK,ambitious+AI_CLEAN,2025.0
DNK,ambitious+AI_CONSERVATIVE,2025.0
DNK,baseline,2025.0
DNK,baseline+AI_CLEAN,2025.0
DNK,baseline+AI_CONSERVATIVE,2025.0
DNK,ndc,2025.0
DNK,ndc+AI_CLEAN,2025.0
DNK,ndc+AI_CONSERVATIVE,2025.0
DZA,ambitious,2025.0
DZA,ambitious+AI_CLEAN,2025.0
DZA,ambitious+AI_CONSERVATIVE,2025.0
DZA,baseline,2025.0
DZA,baseline+AI_CLEAN,2025.0
DZA,baseline+AI_CONSERVATIVE,2025.0
DZA,ndc,2025.0
DZA,ndc+AI_CLEAN,2025.0
DZA,ndc+AI_CONSERVATIVE,2025.0
ECU,ambitious,
ECU,ambitious+AI_CLEAN,
ECU,ambitious+AI_CONSERVATIVE,
ECU,baseline,
ECU,baseline+AI_CLEAN,
ECU,baseline+AI_CONSERVATIVE,
ECU,ndc,
ECU,ndc+AI_CLEAN,
ECU,ndc+AI_CONSERVATIVE,
EGY,ambitious,2025.0
EGY,ambitious+AI_CLEAN,2025.0
EGY,ambitious+AI_CONSERVATIVE,2025.0
EGY,baseline,2025.0
EGY,baseline+AI_CLEAN,2025.0
EGY,baseline+AI_CONSERVATIVE,2025.0
EGY,ndc,2025.0
EGY,ndc+AI_CLEAN,2025.0
EGY,ndc+AI_CONSERVATIVE,2025.0
ESP,ambitious,2025.0
ESP,ambitious+AI_CLEAN,2025.0
ESP,ambitious+AI_CONSERVATIVE,2025.0
ESP,baseline,2025.0
ESP,baseline+AI_CLEAN,2025.0
ESP,baseline+AI_CONSERVATIVE,2025.0
ESP,ndc,2025.0
ESP,ndc+AI_CLEAN,2025.0
ESP,ndc+AI_CONSERVATIVE,2025.0
EST,ambitious,2025.0
EST,ambitious+AI_CLEAN,2025.0
EST,ambitious+AI_CONSERVATIVE,2025.0
EST,baseline,2025.0
EST,baseline+AI_CLEAN,2025.0
EST,baseline+AI_CONSERVATIVE,2025.0
EST,ndc,2025.0
EST,ndc+AI_CLEAN,2025.0
EST,ndc+AI_CONSERVATIVE,2025.0
FIN,ambitious,2025.0
FIN,ambitious+AI_CLEAN,2025.0
FIN,ambitious+AI_CONSERVATIVE,2025.0
FIN,baseline,2025.0
FIN,baseline+AI_CLEAN,2025.0
FIN,baseline+AI_CONSERVATIVE,2025.0
FIN,ndc,2025.0
FIN,ndc+AI_CLEAN,2025.0
FIN,ndc+AI_CONSERVATIVE,2025.0
FRA,ambitious,2025.0
FRA,ambitious+AI_CLEAN,2025.0
FRA,ambitious+AI_CONSERVATIVE,2025.0
FRA,baseline,2025.0
FRA,baseline+AI_CLEAN,2025.0
FRA,baseline+AI_CONSERVATIVE,2025.0
FRA,ndc,2025.0
FRA,ndc+AI_CLEAN,2025.0
FRA,ndc+AI_CONSERVATIVE,2025.0
GBR,ambitious,2025.0
GBR,ambitious+AI_CLEAN,2025.0
GBR,ambitious+AI_CONSERVATIVE,2025.0
GBR,baseline,2025.0
GBR,baseline+AI_CLEAN,2025.0
GBR,baseline+AI_CONSERVATIVE,2025.0
GBR,ndc,2025.0
GBR,ndc+AI_CLEAN,2025.0
GBR,ndc+AI_CONSERVATIVE,2025.0
GRC,ambitious,2025.0
GRC,ambitious+AI_CLEAN,2025.0
GRC,ambitious+AI_CONSERVATIVE,2025.0
GRC,baseline,2025.0
GRC,baseline+AI_CLEAN,2025.0
GRC,baseline+AI_CONSERVATIVE,2025.0
GRC,ndc,2025.0
GRC,ndc+AI_CLEAN,2025.0
GRC,ndc+AI_CONSERVATIVE,2025.0
HKG,ambitious,2025.0
HKG,ambitious+AI_CLEAN,2025.0
HKG,ambitious+AI_CONSERVATIVE,2025.0
HKG,baseline,2025.0
HKG,baseline+AI_CLEAN,2025.0
HKG,baseline+AI_CONSERVATIVE,2025.0
HKG,ndc,2025.0
HKG,ndc+AI_CLEAN,2025.0
HKG,ndc+AI_CONSERVATIVE,2025.0
HRV,ambitious,2025.0
HRV,ambitious+AI_CLEAN,2025.0
HRV,ambitious+AI_CONSERVATIVE,2025.0
HRV,baseline,2025.0
HRV,baseline+AI_CLEAN,2025.0
HRV,baseline+AI_CONSERVATIVE,2025.0
HRV,ndc,2025.0
HRV,ndc+AI_CLEAN,2025.0
HRV,ndc+AI_CONSERVATIVE,2025.0
HUN,ambitious,2025.0
HUN,ambitious+AI_CLEAN,2025.0
HUN,ambitious+AI_CONSERVATIVE,2025.0
HUN,baseline,2025.0
HUN,baseline+AI_CLEAN,2025.0
HUN,baseline+AI_CONSERVATIVE,2025.0
HUN,ndc,2025.0
HUN,ndc+AI_CLEAN,2025.0
HUN,ndc+AI_CONSERVATIVE,2025.0
IDN,ambitious,2025.0
IDN,ambitious+AI_CLEAN,2025.0
IDN,ambitious+AI_CONSERVATIVE,2025.0
IDN,baseline,2025.0
IDN,baseline+AI_CLEAN,2025.0
IDN,baseline+AI_CONSERVATIVE,2025.0
IDN,ndc,2025.0
IDN,ndc+AI_CLEAN,2025.0
IDN,ndc+AI_CONSERVATIVE,2025.0
IND,ambitious,
IND,ambitious+AI_CLEAN,
IND,ambitious+AI_CONSERVATIVE,
IND,baseline,
IND,baseline+AI_CLEAN,
IND,baseline+AI_CONSERVATIVE,
IND,ndc,
IND,ndc+AI_CLEAN,
IND,ndc+AI_CONSERVATIVE,
IRL,ambitious,2025.0
IRL,ambitious+AI_CLEAN,2025.0
IRL,ambitious+AI_CONSERVATIVE,2025.0
IRL,baseline,2025.0
IRL,baseline+AI_CLEAN,2025.0
IRL,baseline+AI_CONSERVATIVE,2025.0
IRL,ndc,2025.0
IRL,ndc+AI_CLEAN,2025.0
IRL,ndc+AI_CONSERVATIVE,2025.0
IRN,ambitious,2025.0
IRN,ambitious+AI_CLEAN,2025.0
IRN,ambitious+AI_CONSERVATIVE,2025.0
IRN,baseline,2025.0
IRN,baseline+AI_CLEAN,2025.0
IRN,baseline+AI_CONSERVATIVE,2025.0
IRN,ndc,2025.0
IRN,ndc+AI_CLEAN,2025.0
IRN,ndc+AI_CONSERVATIVE,2025.0
IRQ,ambitious,2025.0
IRQ,ambitious+AI_CLEAN,2025.0
IRQ,ambitious+AI_CONSERVATIVE,2025.0
IRQ,baseline,2025.0
IRQ,baseline+AI_CLEAN,2025.0
IRQ,baseline+AI_CONSERVATIVE,2025.0
IRQ,ndc,2025.0
IRQ,ndc+AI_CLEAN,2025.0
IRQ,ndc+AI_CONSERVATIVE,2025.0
ISL,ambitious,2025.0
ISL,ambitious+AI_CLEAN,2025.0
ISL,ambitious+AI_CONSERVATIVE,2025.0
ISL,baseline,2025.0
ISL,baseline+AI_CLEAN,2025.0
ISL,baseline+AI_CONSERVATIVE,2025.0
ISL,ndc,2025.0
ISL,ndc+AI_CLEAN,2025.0
ISL,ndc+AI_CONSERVATIVE,2025.0
ISR,ambitious,2025.0
ISR,ambitious+AI_CLEAN,2025.0
