iso_code,country,population,cumulative_co2,fair_share_budget_gt,budget_used_pct,status
ABW,Aruba,107904.0,74.782,0.0026505804173281608,2821344.3180638067,Overshooting (>100%)
AFG,Afghanistan,41454709.0,236.841,1.0183036762440452,23258.38603210925,Overshooting (>100%)
AGO,Angola,37885806.0,715.34,0.9306362644414825,76865.69149863382,Overshooting (>100%)
AIA,Anguilla,,3.478,,,No data
ALB,Albania,2811615.0,304.173,0.0690652029587978,440414.25633898505,Overshooting (>100%)
AND,Andorra,,16.236,,,No data
ANT,Netherlands Antilles,198009.0,,0.004863941817307345,,No data
ARE,United Arab Emirates,11027083.0,5662.049,0.27087198120600037,2090304.421590938,Overshooting (>100%)
ARG,Argentina,45696111.0,9012.649,1.1224905190229646,802915.3785499022,Overshooting (>100%)
ARM,Armenia,2973792.0,398.829,0.07304895870780644,545974.9283974103,Overshooting (>100%)
ASM,American Samoa,47499.0,,0.001166777128212766,,No data
ATA,Antarctica,,0.154,,,No data
ATG,Antigua and Barbuda,93293.0,26.261,0.002291672216727796,1145931.7701855819,Overshooting (>100%)
AUS,Australia,26713152.0,19664.301,0.6561884413581572,2996746.019984667,Overshooting (>100%)
AUT,Austria,9120765.0,5693.515,0.22404471660042338,2541240.465917437,Overshooting (>100%)
AZE,Azerbaijan,10336519.0,2596.786,0.25390879712281716,1022723.9187557254,Overshooting (>100%)
BDI,Burundi,13689406.0,15.414,0.33626993872752287,4583.817411192933,Overshooting (>100%)
BEL,Belgium,11738706.0,12817.945,0.28835246374900453,4445235.124176826,Overshooting (>100%)
BEN,Benin,14110987.0,121.689,0.3466257581866497,35106.73893267718,Overshooting (>100%)
BES,Bonaire Sint Eustatius and Saba,,7.639,,,No data
BFA,Burkina Faso,23025738.0,88.716,0.5656098961792787,15685.015520287167,Overshooting (>100%)
BGD,Bangladesh,173562319.0,1922.09,4.263427527500958,45083.2103419534,Overshooting (>100%)
BGR,Bulgaria,6757647.0,3961.461,0.16599650435031504,2386472.543807204,Overshooting (>100%)
BHR,Bahrain,1607007.0,1067.923,0.039474915524070245,2705320.545521681,Overshooting (>100%)
