iso_code,ef_kg_per_kwh
ESH,0.66667
UGA,0.057390000000000004
GNB,0.625
HTI,0.53465
MSR,1.0
NPL,0.02336
CPV,0.48
LSO,0.020829999999999998
COK,0.25
JAM,0.56125
KIR,0.5
PRK,0.34426
JOR,0.5392100000000001
UKR,0.25047
MRT,0.48170999999999997
MTQ,0.51678
TCD,0.61539
MAC,0.44898000000000005
CAF,0.0
MWI,0.05465
MDG,0.47726999999999997
REU,0.52522
ABW,0.55
SHN,1.0
KNA,0.63636
FRO,0.35417000000000004
BHS,0.65366
LCA,0.65
SPM,0.6
PYF,0.43662
STP,0.5555599999999999
FLK,1.0
GUF,0.20408
SYR,0.6822699999999999
GRD,0.66667
GLP,0.49389999999999995
GUM,0.61111
NCL,0.58576
GRL,0.11111
PSE,0.46077999999999997
LKA,0.50978
ZMB,0.111
GNQ,0.6051
ERI,0.5909099999999999
COG,0.71373
ETH,0.02355
SWZ,0.14286000000000001
AFG,0.12371
ISR,0.56726
GHA,0.45286000000000004
DJI,0.45
HKG,0.68199
GIB,0.5909099999999999
VIR,0.64179
ISL,0.028329999999999998
CUB,0.63898
GUY,0.6343300000000001
VGB,0.64706
GTM,0.27266
GIN,0.18272
HND,0.2895
VUT,0.5
DMA,0.6
GMB,0.66667
FJI,0.27826
YEM,0.5863200000000001
IRQ,0.6894
VEN,0.18025
ALB,0.02442
GAB,0.42947
CIV,0.39353
COD,0.027039999999999998
ZWE,0.29844
TCA,0.65385
NER,0.6875
NIC,0.28833
BRN,0.89267
BHR,0.9024099999999999
SYC,0.57143
TKM,1.3063
SLE,0.047619999999999996
BMU,0.64063
NRU,0.75
BFA,0.55491
ATG,0.61111
NAM,0.047619999999999996
MOZ,0.12781
BDI,0.23077
TON,0.57143
TLS,0.66667
TZA,0.37159
BRB,0.6
PAN,0.25874
PNG,0.51374
VCT,0.6
WSM,0.4
BTN,0.02419
RWA,0.30189
UZB,1.12118
BWA,0.84942
PRY,0.02486
SEN,0.5354
AGO,0.16722
SSD,0.61017
LBN,0.36947
SDN,0.21433000000000002
LAO,0.23212
SUR,0.38318
BLZ,0.15556
DZA,0.6336499999999999
COM,0.64286
LBY,0.83053
LBR,0.43589999999999995
TGO,0.47826
MUS,0.63303
CMR,0.28570999999999996
SLB,0.63636
SOM,0.52381
MLI,0.3945
ASM,0.64706
MDV,0.61177
TTO,0.68211
BEN,0.59
CYM,0.64286
BEL,0.12040000000000001
RUS,0.44617
ARM,0.24352000000000001
BLR,0.32363
KAZ,0.80179
ECU,0.2097
SWE,0.03589
EST,0.34211
AUS,0.55376
ESP,0.14615
KOR,0.41564999999999996
TWN,0.63515
ZAF,0.7139
AUT,0.10274
AZE,0.63289
SLV,0.09929
SVN,0.22711
TJK,0.0987
SVK,0.09648999999999999
SGP,0.49874
EGY,0.5745
FIN,0.07225
SRB,0.67032
SAU,0.6919500000000001
BGD,0.69463
FRA,0.04416
THA,0.55543
DNK,0.14306
HRV,0.17448
HUN,0.18281999999999998
KHM,0.49745999999999996
MEX,0.48314
MLT,0.48416000000000003
IND,0.70896
CAN,0.18499000000000002
ARE,0.46751
MYS,0.6044299999999999
IDN,0.6840499999999999
LUX,0.13462000000000002
LTU,0.13934
IRN,0.6486799999999999
GBR,0.21653
CRI,0.06301
KEN,0.08483
XKX,0.95872
URY,0.09670000000000001
JPN,0.48373
KWT,0.63724
KGZ,0.15265
MDA,0.6295599999999999
COL,0.2858
CHN,0.5575
LVA,0.13559000000000002
USA,0.38355
IRL,0.27966
CHL,0.26552
ITA,0.28772000000000003
MNG,0.78401
VNM,0.48613
MNE,0.41351
OMN,0.5453300000000001
PAK,0.39988999999999997
BOL,0.46802
ARG,0.34482999999999997
DEU,0.33588999999999997
GRC,0.31976
PER,0.26327
PHL,0.61338
POL,0.61475
PRT,0.11187000000000001
PRI,0.66453
QAT,0.6028300000000001
ROU,0.24584
GEO,0.14306
DOM,0.56592
BIH,0.63852
TUN,0.56025
MAR,0.57765
MMR,0.56969
NLD,0.2513
BGR,0.26414
CYP,0.51224
NZL,0.12011
NGA,0.50785
TUR,0.4697
CZE,0.41386
MKD,0.56897
NOR,0.03075
BRA,0.10606
CHE,0.03401
