iso_code,country,year,scenario,debt_gt,fs_gt,emissions_mt,ai_emissions_mt_eff,emissions_gt,cum_emissions_gt,cum_fs_gt
ARE,United Arab Emirates,2025,ambitious,0.191691019559315,0.0,191.691019559315,,,,
ARE,United Arab Emirates,2026,ambitious,0.3766758959758835,0.0,184.9848764165685,,,,
ARE,United Arab Emirates,2027,ambitious,0.5553610621673007,0.0,178.6851661914172,,,,
ARE,United Arab Emirates,2028,ambitious,0.7281170893231513,0.0,172.75602715585057,,,,
ARE,United Arab Emirates,2029,ambitious,0.8952827853882095,0.0,167.16569606505814,,,,
ARE,United Arab Emirates,2030,ambitious,1.0571687243118604,0.0,161.88593892365088,,,,
ARE,United Arab Emirates,2031,ambitious,1.2190546632355113,0.0,161.88593892365088,,,,
ARE,United Arab Emirates,2032,ambitious,1.3809406021591624,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2033,ambitious,1.5428265410828137,0.0,161.88593892365134,,,,
ARE,United Arab Emirates,2034,ambitious,1.7047124800064646,0.0,161.88593892365088,,,,
ARE,United Arab Emirates,2035,ambitious,1.8665984189301157,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2036,ambitious,2.0284843578537664,0.0,161.88593892365066,,,,
ARE,United Arab Emirates,2037,ambitious,2.1903702967774175,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2038,ambitious,2.352256235701068,0.0,161.88593892365066,,,,
ARE,United Arab Emirates,2039,ambitious,2.5141421746247192,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2040,ambitious,2.6760281135483703,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2041,ambitious,2.8379140524720214,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2042,ambitious,2.9997999913956725,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2043,ambitious,3.1616859303193237,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2044,ambitious,3.3235718692429748,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2045,ambitious,3.4854578081666254,0.0,161.88593892365066,,,,
ARE,United Arab Emirates,2046,ambitious,3.647343747090277,0.0,161.88593892365157,,,,
ARE,United Arab Emirates,2047,ambitious,3.809229686013928,0.0,161.8859389236511,,,,
ARE,United Arab Emirates,2048,ambitious,3.9711156249375783,0.0,161.88593892365023,,,,
ARE,United Arab Emirates,2049,ambitious,4.133001563861229,0.0,161.88593892365066,,,,
ARE,United Arab Emirates,2050,ambitious,4.29488750278488,0.0,161.88593892365066,,,,
ARE,United Arab Emirates,2025,baseline,0.1988442389114001,0.0,198.8442389114001,,,,
ARE,United Arab Emirates,2026,baseline,0.3976884778228003,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2027,baseline,0.5965327167342006,0.0,198.84423891140028,,,,
ARE,United Arab Emirates,2028,baseline,0.7953769556456007,0.0,198.84423891140014,,,,
ARE,United Arab Emirates,2029,baseline,0.994221194557001,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2030,baseline,1.1930654334684012,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2031,baseline,1.3919096723798012,0.0,198.84423891140003,,,,
ARE,United Arab Emirates,2032,baseline,1.5907539112912017,0.0,198.84423891140045,,,,
ARE,United Arab Emirates,2033,baseline,1.7895981502026015,0.0,198.8442389113998,,,,
ARE,United Arab Emirates,2034,baseline,1.988442389114002,0.0,198.84423891140045,,,,
ARE,United Arab Emirates,2035,baseline,2.187286628025402,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2036,baseline,2.3861308669368024,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2037,baseline,2.5849751058482022,0.0,198.8442389113998,,,,
ARE,United Arab Emirates,2038,baseline,2.7838193447596025,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2039,baseline,2.9826635836710027,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2040,baseline,3.181507822582403,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2041,baseline,3.380352061493803,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2042,baseline,3.579196300405203,0.0,198.8442389113998,,,,
ARE,United Arab Emirates,2043,baseline,3.778040539316604,0.0,198.84423891140113,,,,
ARE,United Arab Emirates,2044,baseline,3.976884778228004,0.0,198.8442389113998,,,,
ARE,United Arab Emirates,2045,baseline,4.175729017139403,0.0,198.84423891139934,,,,
ARE,United Arab Emirates,2046,baseline,4.374573256050804,0.0,198.84423891140113,,,,
ARE,United Arab Emirates,2047,baseline,4.573417494962205,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2048,baseline,4.772261733873605,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2049,baseline,4.971105972785004,0.0,198.84423891139934,,,,
ARE,United Arab Emirates,2050,baseline,5.1699502116964045,0.0,198.84423891140023,,,,
ARE,United Arab Emirates,2025,ndc,0.1988442389114001,0.0,198.8442389114001,,,,
ARE,United Arab Emirates,2026,ndc,0.3888184858228004,0.0,189.9742469114003,,,,
ARE,United Arab Emirates,2027,ndc,0.5699227407342006,0.0,181.1042549114002,,,,
ARE,United Arab Emirates,2028,ndc,0.7421570036456008,0.0,172.2342629114002,,,,
ARE,United Arab Emirates,2029,ndc,0.9055212745570008,0.0,163.36427091140004,,,,
ARE,United Arab Emirates,2030,ndc,1.0600155534684013,0.0,154.49427891140044,,,,
ARE,United Arab Emirates,2031,ndc,1.2056398403798012,0.0,145.62428691139993,,,,
ARE,United Arab Emirates,2032,ndc,1.3423941352912014,0.0,136.75429491140022,,,,
ARE,United Arab Emirates,2033,ndc,1.4702784382026015,0.0,127.88430291140007,,,,
ARE,United Arab Emirates,2034,ndc,1.589292749114002,0.0,119.01431091140057,,,,
ARE,United Arab Emirates,2035,ndc,1.6994370680254025,0.0,110.14431891140042,,,,
ARE,United Arab Emirates,2036,ndc,1.8007113949368023,0.0,101.27432691139981,,,,
ARE,United Arab Emirates,2037,ndc,1.8931157298482024,0.0,92.4043349114001,,,,
ARE,United Arab Emirates,2038,ndc,1.9766500727596028,0.0,83.53434291140039,,,,
ARE,United Arab Emirates,2039,ndc,2.051314423671003,0.0,74.6643509114,,,,
ARE,United Arab Emirates,2040,ndc,2.117108782582403,0.0,65.79435891140007,,,,
ARE,United Arab Emirates,2041,ndc,2.174033149493803,0.0,56.92436691140035,,,,
ARE,United Arab Emirates,2042,ndc,2.2220875244052034,0.0,48.05437491140019,,,,
ARE,United Arab Emirates,2043,ndc,2.261271907316604,0.0,39.184382911400476,,,,
ARE,United Arab Emirates,2044,ndc,2.2915862982280037,0.0,30.31439091139987,,,,
ARE,United Arab Emirates,2045,ndc,2.3130306971394043,0.0,21.444398911400597,,,,
ARE,United Arab Emirates,2046,ndc,2.325605104050804,0.0,12.57440691139955,,,,
ARE,United Arab Emirates,2047,ndc,2.329309518962204,0.0,3.704414911400278,,,,
ARE,United Arab Emirates,2048,ndc,2.3241439418736043,0.0,-5.165577088599882,,,,
ARE,United Arab Emirates,2049,ndc,2.3101083727850047,0.0,-14.035569088599598,,,,
ARE,United Arab Emirates,2050,ndc,2.287202811696405,0.0,-22.905561088599757,,,,
ARG,Argentina,2025,ambitious,0.0785448433741858,0.0,78.5448433741858,,,,
ARG,Argentina,2026,ambitious,0.149011190832531,0.0,70.46634745834521,,,,
ARG,Argentina,2027,ambitious,0.2121003385034026,0.0,63.08914767087159,,,,
ARG,Argentina,2028,ambitious,0.2684260618379503,0.0,56.32572333454772,,,,
ARG,Argentina,2029,ambitious,0.3185285972424223,0.0,50.10253540447196,,,,
ARG,Argentina,2030,ambitious,0.3628859389372123,0.0,44.35734169479005,,,,
ARG,Argentina,2031,ambitious,0.4072432806320023,0.0,44.357341694789994,,,,
ARG,Argentina,2032,ambitious,0.4516006223267924,0.0,44.35734169479005,,,,
ARG,Argentina,2033,ambitious,0.4959579640215824,0.0,44.357341694789994,,,,
ARG,Argentina,2034,ambitious,0.5403153057163722,0.0,44.35734169478983,,,,
ARG,Argentina,2035,ambitious,0.5846726474111623,0.0,44.35734169479011,,,,
ARG,Argentina,2036,ambitious,0.6290299891059523,0.0,44.357341694789994,,,,
ARG,Argentina,2037,ambitious,0.6733873308007423,0.0,44.357341694789994,,,,
