iso_code,country,status,budget_used_pct,renewables_share_energy,fossil_share_energy,co2_per_capita,first_emissions_year,latest_year,industrialization_age,overshoot_driver_tag,fair_share_budget_gt,cumulative_co2
AIA,Anguilla,No data,,,,10.012,1990.0,2023.0,33.0,No data,,3.478
AND,Andorra,No data,,,,5.242,1990.0,2023.0,33.0,No data,,16.236
ANT,Netherlands Antilles,No data,,,,,,,,No data,0.004863941817307345,
ASM,American Samoa,No data,,,,,,,,No data,0.001166777128212766,
ATA,Antarctica,No data,,,,,1987.0,2023.0,36.0,No data,,0.154
BES,Bonaire Sint Eustatius and Saba,No data,,,,3.84,1950.0,2023.0,73.0,No data,,7.639
CXR,Christmas Island,No data,,,,,1970.0,2023.0,53.0,No data,,1.33
CYM,Cayman Islands,No data,,,,,,,,No data,0.0017934110476786002,
ESH,Western Sahara,No data,,,,,,,,No data,0.014239598726276384,
FLK,Falkland Islands,No data,,,,,,,,No data,8.499229170332366e-05,
GIB,Gibraltar,No data,,,,,,,,No data,0.0009442987507685457,
GLP,Guadeloupe,No data,,,,,,,,No data,0.009247652622244754,
GUF,French Guiana,No data,,,,,,,,No data,0.007451760585704295,
GUM,Guam,No data,,,,,,,,No data,0.004089382007483877,
LIE,Liechtenstein,No data,,,,3.969,1959.0,2023.0,64.0,No data,,9.883
MHL,Marshall Islands,No data,,,,3.947,1992.0,2023.0,31.0,No data,,3.857
MNP,Northern Mariana Islands,No data,,,,,,,,No data,0.0011082405296205637,
MTQ,Martinique,No data,,,,,,,,No data,0.008498000958024514,
PLW,Palau,No data,,,,12.526,1955.0,2023.0,68.0,No data,,11.208
PRI,Puerto Rico,No data,,,,,,,,No data,0.07964143739869167,
REU,Reunion,No data,,,,,,,,No data,0.02148971141527762,
SXM,Sint Maarten (Dutch part),No data,,,,16.201,1950.0,2023.0,73.0,No data,,61.479
VIR,United States Virgin Islands,No data,,,,,,,,No data,0.002104320711288129,
WLF,Wallis and Futuna,No data,,,,2.691,1990.0,2023.0,33.0,No data,,0.834
DNK,Denmark,Overshooting (>100%),2838981.6080760066,41.722,58.278,4.584,1843.0,2023.0,180.0,Overshoot & correcting (higher renewables),0.14682958805164617,4168.465
AUT,Austria,Overshooting (>100%),2541240.465917437,43.347,56.653,6.416,1807.0,2023.0,216.0,Overshoot & correcting (higher renewables),0.22404471660042338,5693.515
FIN,Finland,Overshooting (>100%),2387791.585671193,38.894,36.773,5.646,1860.0,2023.0,163.0,Overshoot & correcting (higher renewables),0.13798402757474584,3294.771
NOR,Norway,Overshooting (>100%),2007055.1923390832,71.812,28.188,7.048,1829.0,2023.0,194.0,Overshoot & correcting (higher renewables),0.13698517163326251,2749.368
SWE,Sweden,Overshooting (>100%),1957295.6500974516,51.318,27.79,3.465,1834.0,2023.0,189.0,Overshoot & correcting (higher renewables),0.2605513377473704,5099.76
ISL,Iceland,Overshooting (>100%),1740600.6599369464,80.498,19.502,9.708,1936.0,2023.0,87.0,Overshoot & correcting (higher renewables),0.00966246904709852,168.185
NZL,New Zealand,Overshooting (>100%),1544593.1524685188,42.554,57.446,5.823,1878.0,2023.0,145.0,Overshoot & correcting (higher renewables),0.12807547390964621,1978.245
CHE,Switzerland,Overshooting (>100%),1426184.9954651166,39.868,43.172,3.691,1858.0,2023.0,165.0,Overshoot & correcting (higher renewables),0.21916055840852877,3125.635
PRT,Portugal,Overshooting (>100%),1066830.7527081314,39.741,60.259,3.569,1870.0,2023.0,153.0,Overshoot & correcting (higher renewables),0.25608813704186884,2732.027
CHL,Chile,Overshooting (>100%),667894.7429669823,32.254,67.746,3.931,1844.0,2023.0,179.0,Overshoot & correcting (higher renewables),0.4855056929472348,3242.667
BRA,Brazil,Overshooting (>100%),340407.25986378867,49.616,49.378,2.304,1856.0,2023.0,167.0,Overshoot & correcting (higher renewables),5.207583412613855,17726.992
CUW,Curacao,Overshooting (>100%),11661773.978993747,,,10.912,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.004555267500098107,531.225
USA,United States,Overshooting (>100%),5089516.673597323,12.05,80.33,14.299,1800.0,2023.0,223.0,Overshoot & fossil-locked (low renewables),8.485142041881986,431852.719
EST,Estonia,Overshooting (>100%),4969745.154345338,17.946,82.054,7.328,1850.0,2023.0,173.0,Overshoot & fossil-locked (low renewables),0.03341968146088541,1660.873
GBR,United Kingdom,Overshooting (>100%),4697431.316889787,21.293,73.543,4.443,1750.0,2023.0,273.0,Overshoot & fossil-locked (low renewables),1.6983262897991993,79777.711
LUX,Luxembourg,Overshooting (>100%),4694070.300019935,14.278,85.722,10.514,1945.0,2023.0,78.0,Overshoot & fossil-locked (low renewables),0.01653183592066579,776.016
CZE,Czechia,Overshooting (>100%),4648134.775786058,9.746,71.686,7.921,1860.0,2023.0,163.0,Overshoot & fossil-locked (low renewables),0.2637170304066115,12257.923
DEU,Germany,Overshooting (>100%),4553879.332875347,23.968,76.032,7.051,1792.0,2023.0,231.0,Overshoot & fossil-locked (low renewables),2.0769608082759667,94582.289
TTO,Trinidad and Tobago,Overshooting (>100%),4521374.080756012,0.011,99.989,22.834,1909.0,2023.0,114.0,Overshoot & fossil-locked (low renewables),0.037036373679569565,1674.553
BEL,Belgium,Overshooting (>100%),4445235.124176826,11.454,76.64,7.118,1802.0,2023.0,221.0,Overshoot & fossil-locked (low renewables),0.28835246374900453,12817.945
BRN,Brunei,Overshooting (>100%),3644703.7493424052,,,25.644,1933.0,2023.0,90.0,Overshoot & fossil-locked (low renewables),0.011365532797411563,414.24
CAN,Canada,Overshooting (>100%),3601190.6870640274,27.157,67.389,13.977,1785.0,2023.0,238.0,Overshoot & fossil-locked (low renewables),0.9762415560577321,35156.32
RUS,Russia,Overshooting (>100%),3408849.7590765553,5.999,88.159,12.486,1830.0,2023.0,193.0,Overshoot & fossil-locked (low renewables),3.557403217232157,121266.531
UKR,Ukraine,Overshooting (>100%),3341823.6511577633,8.299,70.004,3.616,1830.0,2023.0,193.0,Overshoot & fossil-locked (low renewables),0.9300065845554933,31079.18
