iso_code,country,year,cum_emissions_gt,cum_fair_share_gt,carbon_debt_gt,debt_t_per_capita,pct_of_fair_share_used,overshoot_year,pledge_year,pledge_type,scope,source_url,pledge_gap_years
ARE,United Arab Emirates,2023,4.888656,1.0232223636690003,3.865433636331,368.7071198401221,477.77063652817304,1990.0,,,,,
ARG,Argentina,2023,5.467386,6.897171393390856,-1.4297853933908558,-31.39735612128445,79.26997443095392,,,Actions,Not Applicable,"<a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
AUS,Australia,2023,12.472871,3.692044947596413,8.780826052403587,329.4525764577397,337.83096297676605,1990.0,2020.0,GHG target,"All Sectors including LULUCF: All IPCC sectors: Energy, Transport, Industry/Industrial processes, Agriculture, Forestry/LULUCF, Waste Management/Waste, Other (fugitive)","<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/australiacphaccord_app1.pdf"" target=""_blank"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
AUT,Austria,2023,2.3024250000000004,1.4380665946618467,0.8643584053381537,94.65407661656428,160.10558958442414,1990.0,,,,,
AZE,Azerbaijan,2023,1.2069880000000002,1.5129875341457522,-0.305999534145752,-30.13598580432891,79.77514505309375,1990.0,,,,,
BEL,Belgium,2023,3.861709,1.8550833129337785,2.006625687066222,170.234468302887,208.1690333299792,1990.0,,,,,
BGD,Bangladesh,2023,1.726277,25.090602141358467,-23.364325141358467,-136.26135935178232,6.880173661334599,,,,,,
BGR,Bulgaria,2023,1.708904,1.2974385439159262,0.4114654560840738,63.82677867266288,131.71367599749192,1990.0,,,,,
BLR,Belarus,2023,2.1879,1.6691961496116392,0.5187038503883608,56.51416530476138,131.07506870951292,1990.0,2020.0,GHG target,"All Sectors excluding LULUCF: Energy, transport, IPPU, agriculture, waste","<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/belaruscphaccord_app1.pdf"" target=""_blank"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007854#beg"" target=""_blank"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/SBSTA/2014/INF.6</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600008156"" target=""_blank"" target=""_blank""><i class=""fa fa-link""></i>&nbsp; Document FCCC/TP/2014/8</a>",30.0
BRA,Brazil,2023,13.233084,32.074393490573485,-18.841309490573487,-89.23578875477638,41.25747226955092,,2020.0,GHG target and Actions,"Partial Sectors: Forestry, Agriculture, Energy, Industry","<a href=""http://unfccc.int/files/meetings/cop_15/copenhagen_accord/application/pdf/brazilcphaccord_app2.pdf"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;View the submission</a>; <a href=""http://unfccc.int/documentation/documents/advanced_search/items/6911.php?priref=600007348"" target=""_blank""><i class=""fa fa-link""></i>&nbsp;Document FCCC/SBI/2013/INF.12/Rev.3</a>",
