Country,ISO,lts_submission,lts_submission_label,lts_document,lts_date,lts_vision,lts_target,lts_target_label,lts_zero,lts_zero_label,lts_m_temp,lts_m_temp_label,lts_m_tt,lts_m_tt_label,lts_m_taryr,lts_m_taryr_label,lts_m_taryr_emi,lts_a_otc,lts_a_otc_label,lts_crbn_rmvl,lts_crbn_rmvl_label,lts_ghg
Austria,AUT,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Austria.pdf"">Long-Term Strategy 2050 - Austria</a>",12/11/2020,"“A strategy that includes a comprehensive transformation of both our energy supply and our consumption patterns and that includes an adapted but competitive economic system goes far beyond . . . merely reducing greenhouse gas emissions. It must contain all three pillars of sustainability—economic, social, and environmental aspects—as this is the only way to achieve committing to far-reaching changes by the population.”",Climate neutrality by no later than 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""The strategy encompasses all key sectors including energy, buildings, transport, industry, agriculture, and land use in a broader sense and is aligned with the goal of the Paris Agreement to limit the temperature increase to well below 2°C and to continue striving to stabilise it at 1.5°C.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"""The primary goal of this strategy is to avoid adverse effects from climate change on the environment, society, and economy and to seize the resulting opportunities.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.13%
Belgium,BEL,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/2020-02-19_lts_be_fr.pdf"">Stratégie à long terme de la Belgique</a>",12/10/2020,"<p>Please note that the LTS was submitted only in French. WRI did its best to translate the LTS language. If any errors are identified, please contact us at ClimateWatch@WRI.org.</p>With this LTS, Belgium “wishes to meet the expectations of the Paris and the European regulation on governance, and to provide a clear framework for its citizens and companies."" Each regional strategy “also addresses a number of relevant transversal points of attention for the long-term strategy,” including “a socially just transition,” “a secure and sufficient supply of sustainable and affordable energy,” “innovation and R&D,” “investments and financing,” and a “circular economy.”","Belgium’s LTS is composed of three separate regional strategies (Walloon, Flemish, and Bruxelles-Capitale), which collectively cover the entire party’s emissions profile. The Walloon strategy “aims to achieve carbon neutrality by 2050”; the Flemish strategy “aims to reduce greenhouse gas emissions from sectors not covered by ETS (so-called non-ETS sectors) by 85% [from a 2005 baseline] by 2050, with the ambition to evolve towards total climate neutrality”; and the Bruxelles-Capitale [strategy] aims to “[get] closer [to] the European objective of carbon neutrality by 2050.”",Quantified Long-term Emissions Goal Included in LTS,No Net-zero target included in LTS,No Net-zero Target Included in LTS,"""According to the Commission, this ambition is in line with the 1.5 ° C target set out in the Paris Agreement""<br>""Belgium wishes to meet the expectations of the Paris and the European regulation on governance, and provide a clear framework for its citizens and companies.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target and Base Year Target in LTS,Other Target Types in LTS,2050,2050 as Target Year in LTS,Not Specified,"""Belgium is already suffering the consequences of climate change, and the impact is expected to increase with increasing average global temperature. The country must therefore organize itself to adapt to expected or already real consequences and to manage the associated risks.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.21%
Benin,BEN,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/files/focus/long-term_strategies/application/pdf/benin_long-term_strategy.pdf"">Stratégie de développement à faible intensité de carbone et résilient aux changements climatiques </a>",12/12/2016,"<p>Please note that the LTS was submitted only in French. WRI did its best to translate the language. If any errors are identified, please contact us at ClimateWatch@WRI.org. </p>“Benin is . . . a country whose development is resilient to climate change and low carbon intensity.”",Avoidance of at least 12 MtCO2e and sequestration of 163 MtCO2e by 2030,Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,Not Specified,No Paris Agreement Temperature Goal Mentioned in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2030,2030 as Target Year in LTS,Not Specified,"""The strategy is developed and implemented in order to: strengthen the resilience of local communities and economic systems; reduce anthropogenic GHG emissions; and strengthen the protection of communities, especially those most vulnerable to natural disasters.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.06%
Costa Rica,CRI,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/NationalDecarbonizationPlan.pdf"">National Decarbonization Plan</a>",12/12/2019,"“Costa Rica aspires to be a modern, green and emission-free economy—and to strengthen its leadership.”",Net-zero emissions by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Costa Rica aims for a decarbonized economy with net-zero emissions in 2050, in a manner consistent with the long-term goal of limiting  the increase of average global temperature to 1.5°C above pre-industrial levels.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"Costa Rica's goals for adaptation and resiliency are outlined in the country's National Adaptation Plan and Policy, a domestic policy plan. ",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.01%
Czech Republic,CZE,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/files/na/application/pdf/cze_climate_protection_policy_summary.pdf"">Climate protection policy of the Czech Republic: Executive summary</a>",3/22/2017,"“The Climate Protection Policy of the Czech Republic specifies the objectives in the field of climate protection up to 2030 with an outlook up to 2050 and represents a long-term strategy of a low-emission development, which will lead to cost-effective achievement of the [specified] national targets.”","80% reduction from 1990 levels, equivalent to 39.1 MtCO2e by 2050",Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"Paris Agreement temperature goal mentioned in LTS, but consistency is not claimed. ",Paris Agreement Temperature Goal Mentioned in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,38.6 MtCO2e,"""The Czech Republic's approach to climate change can be divided into a policy aimed at reducing emissions of greenhouse gases and into a policy of adaptation and strengthening resilience to the adverse impacts of climate change.""<br>The Czech Republic's goals for adaptation and resiliency are further outlined in the country's National Action Plan on Adaptation to Climate Change, a domestic policy plan. ",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.22%
Denmark,DNK,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Denmark%20Climate%20Programme%202020.pdf"">Climate Programme 2020</a>",12/30/2020,"“The government want[s] to show how high climate ambitions can be translated into specific and concrete actions . . . how a green transition is carried through in a way that supports growth, welfare, just transition and development of green technological solutions that the world needs.”",Climate neutrality by no later than 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""The Government will focus Denmark’s international climate effort on the Paris Agreement’s three overall targets: pursuing efforts to limit the global temperature increase to 1.5 degrees…""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"""The Government wants to use its position as a green pioneer country internationally to inspire and drive adaptation and resilience initiatives in the climate fight, both through development cooperation and export promotion efforts. The Government wants Danish development cooperation to embrace far higher climate ambitions,with a stronger focus on adaptation and sustainable development in the poorest and most fragile developing countries, where more people must have access to clean energy and clean water. Through its export promotion efforts, the Government will advocate the global spread of Danish solutions for climate adaptation and resilience.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,0.09%
European Union,EUU,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/HR-03-06-2020%20EU%20Submission%20on%20Long%20term%20strategy.pdf""> Long-term low greenhouse gas emission development strategy of the European Union and its Member States</a>",3/6/2020,"“The EU and its Member States aim to inspire global climate action and demonstrate that moving towards climate neutrality is not only imperative, but also feasible and desirable.”",Climate neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""The European Union (EU) and its Member States are fully committed to the Paris Agreement and its long-term goals.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero GHG emissions,Not Specified,No Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,6.22%
Fiji,FJI,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Fiji_Low%20Emission%20Development%20%20Strategy%202018%20-%202050.pdf"">Fiji's Low Emission Development Strategy 2018-2050</a>",2/25/2019,"“As the central goal of this low emission development strategy, Fiji aims to reach net zero carbon emissions by 2050 across all sectors of its economy. This is consistent and aligns directly with Fiji’s objective stated above to ensure that net zero emissions are achieved globally by 2050.""",Net-zero emissions by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Reducing emissions to net zero by 2050 is critical to meeting the Paris Agreement goal to keep the global average temperature increase to below 1.5°C. Fiji aims to lead the way, with this LEDS, which serves as a roadmap towards carbon neutrality by 2050.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"Fiji's goals for adaptation and resiliency are outlined in the country's National Adaptation Plan, a domestic policy plan.<br>""Under its National Adaptation Plan, Fiji’s vision is 'to anticipate, reduce, and manage environmental and climate risks caused by climate variability and change to support a vibrant society and prosperous economy.'""",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.00%
Finland,FIN,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/LTS_Finland_Oct2020.pdf"">Finland’s long-term low greenhouse gas emission development strategy</a>",10/5/2020,"""Finland’s long-term strategy lays out scenarios and impact assessments concerning the national carbon neutrality target set for 2035 and developments in greenhouse gas (GHG) emissions and removals by 2050.""",Carbon neutrality by 2035 and net-negative emissions thereafter,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""The Government’s 2035 carbon neutrality target is based on the Finnish Climate Change Panel’s estimate of what the 1.5 °C obligation set out in the Paris Agreement entails for Finland.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2035,Other Target Year in LTS,Net-zero emissions by 2035,"Finland's goals for adaptation and resiliency are further outlined in the country's National Climate Change Adaptation Plan 2022, a domestic policy plan.<br>Aim: ""The aim of the National Climate Change Adaptation Plan 2022 is to ensure that Finnish society has the capacity to adapt to changes in climate and manage the risks associated with climate change.""<br>Objectives: ""Adaptation has been integrated into the planning and activities of both the various sectors and their actors; The actors have access to the necessary climate change assessment and management methods; Research and development work, communication and education and training have enhanced the adaptive capacity of society, developed innovative solutions and improved citizens’ awareness on climate change adaptation.""",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,0.13%
France,FRA,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/en_SNBC-2_complete.pdf"">National Low Carbon Strategy</a>",2/8/2021,"<p>Please note that this LTS is the updated version submitted by France. Previous archived version was submitted on December 28, 2017, and can be found <a href=""https://unfccc.int/sites/default/files/resource/National_Low_Carbon_Strategy_v2_EN.pdf"">here</a>. </p> “We must develop a new sustainable model of growth that creates jobs and wealth and improves wellbeing whilst building a circular economy for the future that is resilient to climate change.”",Carbon neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""The Climate Plan provided a new direction for national climate policies: carbon neutrality by 2050. This objective is a response to France’s international commitments in the context of the Paris Agreement.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"""The National Low Carbon Strategy is one of two components of French climate policy, it works alongside the National Climate Change Adaptation Plan that focuses on French adaptation policy.""<br>""This strategy complements the national climate adaptation plan provided for in article 42 of planning law no. 2009-967 of 3 August 2009 relating to the implementation of the Grenelle Environment Forum.""",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,0.66%
